gene_id,component,class
PF3D7_0937000,unknown,Unknown
PF3D7_0937100,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0937200,membrane,Membrane (general)
PF3D7_1001200,unknown,Unknown
PF3D7_1001300,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_1001400,"RBC membrane (HT),RBC membrane (PEXEL),membrane","Membrane (general),Membrane proteins (PEXEL/HT)"
PF3D7_1001500,apicoplast,Apicoplast
PF3D7_1001600,"RBC membrane (PEXEL),membrane","Membrane (general),Membrane proteins (PEXEL/HT)"
PF3D7_1001700,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1001800,unknown,Unknown
PF3D7_1001900,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_1002000,RBC membrane (HT),Membrane proteins (PEXEL/HT)
PF3D7_1002100,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_1002200,unknown,Unknown
PF3D7_1002300,unknown,Unknown
PF3D7_1002400,unknown,Unknown
PF3D7_1002500,unknown,Unknown
PF3D7_1002600,apicoplast,Apicoplast
PF3D7_1002700,extracellular space,Extracellular/Secreted
PF3D7_1002800,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1002900,unknown,Unknown
PF3D7_1003000,unknown,Unknown
PF3D7_1003100,unknown,Unknown
PF3D7_1003200,apicoplast,Apicoplast
PF3D7_1003300,NatA complex,Intracellular protein complexes (internal)
PF3D7_1003400,unknown,Unknown
PF3D7_1003500,cytosolic small ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_1003600,unknown,Unknown
PF3D7_1003700,unknown,Unknown
PF3D7_1003800,"U2-type catalytic step 2 spliceosome,U4/U6 x U5 tri-snRNP complex,cytosol","Cytoplasm & Cytosol (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1003900,unknown,Unknown
PF3D7_1004000,"cytosolic large ribosomal subunit,ribosome",Ribosome & translation complexes (internal)
PF3D7_1004100,unknown,Unknown
PF3D7_1004200,precatalytic spliceosome,Spliceosomal & RNP complexes (internal)
PF3D7_1004300,unknown,Unknown
PF3D7_1004400,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1004500,unknown,Unknown
PF3D7_1004600,unknown,Unknown
PF3D7_1004700,unknown,Unknown
PF3D7_1004800,unknown,Unknown
PF3D7_1004900,unknown,Unknown
PF3D7_1005000,"apicoplast,mitochondrion","Apicoplast,Mitochondrion & related"
PF3D7_1005100,"nucleolus,small-subunit processome","Nucleus (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1005200,unknown,Unknown
PF3D7_1005300,apicoplast,Apicoplast
PF3D7_1005400,unknown,Unknown
PF3D7_1005500,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1005600,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1005700,mitochondrion,Mitochondrion & related
PF3D7_1005800,unknown,Unknown
PF3D7_1005900,apicoplast,Apicoplast
PF3D7_1006000,unknown,Unknown
PF3D7_1006100,unknown,Unknown
PF3D7_1006200,nucleus,Nucleus (internal)
PF3D7_1006300,unknown,Unknown
PF3D7_1006400,unknown,Unknown
PF3D7_1006500,unknown,Unknown
PF3D7_1006600,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1006700,unknown,Unknown
PF3D7_1006800,"cytoplasm,nucleus,ribonucleoprotein complex","Cytoplasm & Cytosol (internal),Nucleus (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1006900,unknown,Unknown
PF3D7_1007000,unknown,Unknown
PF3D7_1007100,"cytoplasm,cytoplasmic dynein complex","Cytoplasm & Cytosol (internal),Cytoskeleton & associated"
PF3D7_1007200,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1007300,unknown,Unknown
PF3D7_1007400,unknown,Unknown
PF3D7_1007500,unknown,Unknown
PF3D7_1007600,unknown,Unknown
PF3D7_1007700,unknown,Unknown
PF3D7_1007800,unknown,Unknown
PF3D7_1007900,eukaryotic translation initiation factor 3 complex,Ribosome & translation complexes (internal)
PF3D7_1008000,"cytoplasm,histone deacetylase complex","Cytoplasm & Cytosol (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1008100,unknown,Unknown
PF3D7_1008200,unknown,Unknown
PF3D7_1008400,proteasome regulatory particle base subcomplex,Ubiquitin & proteasome complexes (internal)
PF3D7_1008500,unknown,Unknown
PF3D7_1008600,unknown,Unknown
PF3D7_1008700,"cytoplasm,microtubule","Cytoplasm & Cytosol (internal),Cytoskeleton & associated"
PF3D7_1008800,"box C/D methylation guide snoRNP complex,small-subunit processome",Spliceosomal & RNP complexes (internal)
PF3D7_1008900,"cytoplasm,mitochondrion","Cytoplasm & Cytosol (internal),Mitochondrion & related"
PF3D7_1009000,unknown,Unknown
PF3D7_1009100,apicoplast,Apicoplast
PF3D7_1009200,integrator complex,Spliceosomal & RNP complexes (internal)
PF3D7_1009300,unknown,Unknown
PF3D7_1009400,nucleus,Nucleus (internal)
PF3D7_1009500,nucleus,Nucleus (internal)
PF3D7_1009600,unknown,Unknown
PF3D7_1009700,ciliary basal body,Cell surface structures
PF3D7_1009800,unknown,Unknown
PF3D7_1009900,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1010000,mitochondrial large ribosomal subunit,Mitochondrion & related
PF3D7_1010100,unknown,Unknown
PF3D7_1010200,unknown,Unknown
PF3D7_1010300,unknown,Unknown
PF3D7_1010400,unknown,Unknown
PF3D7_1010500,nucleus,Nucleus (internal)
PF3D7_1010600,eukaryotic translation initiation factor 2 complex,Ribosome & translation complexes (internal)
PF3D7_1010700,unknown,Unknown
PF3D7_1010800,large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_1010900,unknown,Unknown
PF3D7_1011000,unknown,Unknown
PF3D7_1011100,unknown,Unknown
PF3D7_1011200,unknown,Unknown
PF3D7_1011300,"Golgi apparatus,cortical endoplasmic reticulum",Endomembrane System & Golgi ER
PF3D7_1011400,"cytosol,nucleus,proteasome core complex beta-subunit complex","Cytoplasm & Cytosol (internal),Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_1011500,unknown,Unknown
PF3D7_1011600,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_1011700,"cytosol,nucleoplasm","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1011800,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1011900,apicoplast,Apicoplast
PF3D7_1012000,unknown,Unknown
PF3D7_1012100,unknown,Unknown
PF3D7_1012200,apicoplast,Apicoplast
PF3D7_1012300,respiratory chain complex III,Mitochondrion & related
PF3D7_1012400,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_1012500,unknown,Unknown
PF3D7_1012600,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_1012700,unknown,Unknown
PF3D7_1012800,unknown,Unknown
PF3D7_1012900,"cytosol,phagophore assembly site membrane","Cytoplasm & Cytosol (internal),Membrane (internal)"
PF3D7_1013000,"nucleus,site of double-strand break","DNA replication & repair complexes (internal),Nucleus (internal)"
PF3D7_1013100,"90S preribosome,nucleolus","Nucleus (internal),Ribosome & translation complexes (internal)"
PF3D7_1013200,unknown,Unknown
PF3D7_1013300,"apicoplast,endoplasmic reticulum membrane","Apicoplast,Endomembrane System & Golgi ER"
PF3D7_1013400,unknown,Unknown
PF3D7_1013500,unknown,Unknown
PF3D7_1013600,nucleus,Nucleus (internal)
PF3D7_1013700,unknown,Unknown
PF3D7_1013800,unknown,Unknown
PF3D7_1013900,unknown,Unknown
PF3D7_1014000,unknown,Unknown
PF3D7_1014100,apicoplast,Apicoplast
PF3D7_1014200,unknown,Unknown
PF3D7_1014300,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1014400,nucleus,Nucleus (internal)
PF3D7_1014500,unknown,Unknown
PF3D7_1014600,nucleus,Nucleus (internal)
PF3D7_1014700,mitochondrion,Mitochondrion & related
PF3D7_1014800,unknown,Unknown
PF3D7_1014900,unknown,Unknown
PF3D7_1015000,unknown,Unknown
PF3D7_1015100,U2-type catalytic step 1 spliceosome,Spliceosomal & RNP complexes (internal)
PF3D7_1015200,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1015300,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_1015400,unknown,Unknown
PF3D7_1015500,unknown,Unknown
PF3D7_1015600,unknown,Unknown
PF3D7_1015700,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1015800,unknown,Unknown
PF3D7_1015900,phosphopyruvate hydratase complex,Intracellular protein complexes (internal)
PF3D7_1016000,unknown,Unknown
PF3D7_1016100,unknown,Unknown
PF3D7_1016200,"autophagosome,plasma membrane","Membrane (internal),Membrane proteins"
PF3D7_1016300,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_1016400,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_1016500,unknown,Unknown
PF3D7_1016600,unknown,Unknown
PF3D7_1016700,unknown,Unknown
PF3D7_1016800,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_1016900,unknown,Unknown
PF3D7_1017000,delta DNA polymerase complex,DNA replication & repair complexes (internal)
PF3D7_1017100,apicoplast,Apicoplast
PF3D7_1017200,mitochondrion,Mitochondrion & related
PF3D7_1017300,Golgi apparatus,Endomembrane System & Golgi ER
PF3D7_1017400,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_1017500,unknown,Unknown
PF3D7_1017600,unknown,Unknown
PF3D7_1017700,unknown,Unknown
PF3D7_1017800,unknown,Unknown
PF3D7_1017900,"cytoplasm,proteasome regulatory particle lid subcomplex","Cytoplasm & Cytosol (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_1018000,"apicoplast,nucleus","Apicoplast,Nucleus (internal)"
PF3D7_1018100,unknown,Unknown
PF3D7_1018200,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1018300,"RBC membrane (HT),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_1018400,apicoplast,Apicoplast
PF3D7_1018500,"U2 snRNP,precatalytic spliceosome",Spliceosomal & RNP complexes (internal)
PF3D7_1018600,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1018700,unknown,Unknown
PF3D7_1018800,unknown,Unknown
PF3D7_1018900,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_1019000,cytosolic small ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_1019100,unknown,Unknown
PF3D7_1019200,unknown,Unknown
PF3D7_1019300,unknown,Unknown
PF3D7_1019400,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_1019500,endoplasmic reticulum membrane,Endomembrane System & Golgi ER
PF3D7_1019600,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1019700,unknown,Unknown
PF3D7_1019800,unknown,Unknown
PF3D7_1019900,autophagosome membrane,Membrane (internal)
PF3D7_1020000,unknown,Unknown
PF3D7_1020100,"cytoplasm,cytoplasmic dynein complex","Cytoplasm & Cytosol (internal),Cytoskeleton & associated"
PF3D7_1020200,unknown,Unknown
PF3D7_1020300,cytoplasmic dynein complex,Cytoskeleton & associated
PF3D7_1020400,nucleolus,Nucleus (internal)
PF3D7_1020500,unknown,Unknown
PF3D7_1020600,"chromatin,histone deacetylase complex","Chromatin,Spliceosomal & RNP complexes (internal)"
PF3D7_1020700,nucleolus,Nucleus (internal)
PF3D7_1020800,apicoplast,Apicoplast
PF3D7_1020900,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1021000,unknown,Unknown
PF3D7_1021100,eukaryotic translation initiation factor 4F complex,Ribosome & translation complexes (internal)
PF3D7_1021200,unknown,Unknown
PF3D7_1021300,apicoplast,Apicoplast
PF3D7_1021400,membrane,Membrane (general)
PF3D7_1021500,unknown,Unknown
PF3D7_1021600,unknown,Unknown
PF3D7_1021700,unknown,Unknown
PF3D7_1021800,unknown,Unknown
PF3D7_1021900,unknown,Unknown
PF3D7_1022000,unknown,Unknown
PF3D7_1022100,unknown,Unknown
PF3D7_1022200,unknown,Unknown
PF3D7_1022300,"apicoplast,membrane","Apicoplast,Membrane (general)"
PF3D7_1022400,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1022500,mitochondrial matrix,Mitochondrion & related
PF3D7_1022600,unknown,Unknown
PF3D7_1022700,plasma membrane,Membrane proteins
PF3D7_1022800,apicoplast,Apicoplast
PF3D7_1022900,mitochondrion,Mitochondrion & related
PF3D7_1023000,unknown,Unknown
PF3D7_1023100,"9+2 motile cilium,axoneme,dynein complex","Cell surface structures,Cytoskeleton & associated"
PF3D7_1023200,unknown,Unknown
PF3D7_1023300,unknown,Unknown
PF3D7_1023400,zeta DNA polymerase complex,DNA replication & repair complexes (internal)
PF3D7_1023500,unknown,Unknown
PF3D7_1023600,unknown,Unknown
PF3D7_1023700,unknown,Unknown
PF3D7_1023800,unknown,Unknown
PF3D7_1023900,"chromatin,nucleus","Chromatin,Nucleus (internal)"
PF3D7_1024000,unknown,Unknown
PF3D7_1024100,unknown,Unknown
PF3D7_1024200,unknown,Unknown
PF3D7_1024300,unknown,Unknown
PF3D7_1024400,unknown,Unknown
PF3D7_1024500,unknown,Unknown
PF3D7_1024600,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_1024700,unknown,Unknown
PF3D7_1024800,unknown,Unknown
PF3D7_1024900,unknown,Unknown
PF3D7_1025000,"cytoplasm,plasma membrane","Cytoplasm & Cytosol (internal),Membrane proteins"
PF3D7_1025100,unknown,Unknown
PF3D7_1025200,"apicoplast,mitochondrion","Apicoplast,Mitochondrion & related"
PF3D7_1025300,apicoplast,Apicoplast
PF3D7_1025400,unknown,Unknown
PF3D7_1025500,apicoplast,Apicoplast
PF3D7_1025600,unknown,Unknown
PF3D7_1025700,unknown,Unknown
PF3D7_1025800,unknown,Unknown
PF3D7_1025900,unknown,Unknown
PF3D7_1026000,unknown,Unknown
PF3D7_1026100,unknown,Unknown
PF3D7_1026200,unknown,Unknown
PF3D7_1026300,unknown,Unknown
PF3D7_1026400,anaphase-promoting complex,Intracellular protein complexes (internal)
PF3D7_1026500,unknown,Unknown
PF3D7_1026600,unknown,Unknown
PF3D7_1026800,unknown,Unknown
PF3D7_1026900,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1027000,core mediator complex,Spliceosomal & RNP complexes (internal)
PF3D7_1027100,"Mpp10 complex,small-subunit processome",Spliceosomal & RNP complexes (internal)
PF3D7_1027200,unknown,Unknown
PF3D7_1027300,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1027400,"P-body,RNA polymerase II core complex","Cytoplasm & Cytosol (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1027500,unknown,Unknown
PF3D7_1027600,nuclear chromosome,Chromatin
PF3D7_1027700,microtubule organizing center,Cytoskeleton & associated
PF3D7_1027800,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_1027900,"Golgi apparatus,endoplasmic reticulum",Endomembrane System & Golgi ER
PF3D7_1028000,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1028100,unknown,Unknown
PF3D7_1028200,unknown,Unknown
PF3D7_1028300,"nuclear periphery,nucleolus,preribosome large subunit precursor","Nucleus (internal),Ribosome & translation complexes (internal)"
PF3D7_1028400,nucleolus,Nucleus (internal)
PF3D7_1028500,unknown,Unknown
PF3D7_1028600,unknown,Unknown
PF3D7_1028700,unknown,Unknown
PF3D7_1028800,unknown,Unknown
PF3D7_1028900,unknown,Unknown
PF3D7_1029100,unknown,Unknown
PF3D7_1029200,unknown,Unknown
PF3D7_1029300,unknown,Unknown
PF3D7_1029400,"Golgi apparatus,endoplasmic reticulum,plasma membrane","Endomembrane System & Golgi ER,Membrane proteins"
PF3D7_1029500,unknown,Unknown
PF3D7_1029600,"cytosol,external side of plasma membrane","Cytoplasm & Cytosol (internal),Membrane proteins"
PF3D7_1029700,unknown,Unknown
PF3D7_1029800,unknown,Unknown
PF3D7_1029900,unknown,Unknown
PF3D7_1030000,DSIF complex,Spliceosomal & RNP complexes (internal)
PF3D7_1030100,catalytic step 2 spliceosome,Spliceosomal & RNP complexes (internal)
PF3D7_1030200,unknown,Unknown
PF3D7_1030300,unknown,Unknown
PF3D7_1030400,unknown,Unknown
PF3D7_1030500,"cytosol,nucleus,proteasome regulatory particle lid subcomplex","Cytoplasm & Cytosol (internal),Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_1030600,"EKC/KEOPS complex,cytoplasm","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal)"
PF3D7_1030700,unknown,Unknown
PF3D7_1030800,myosin II complex,Cytoskeleton & associated
PF3D7_1030900,unknown,Unknown
PF3D7_1031000,unknown,Unknown
PF3D7_1031100,unknown,Unknown
PF3D7_1031200,unknown,Unknown
PF3D7_1031300,unknown,Unknown
PF3D7_1031400,apicoplast,Apicoplast
PF3D7_1031500,nucleus,Nucleus (internal)
PF3D7_1031600,U5 snRNP,Spliceosomal & RNP complexes (internal)
PF3D7_1031700,nucleus,Nucleus (internal)
PF3D7_1031800,unknown,Unknown
PF3D7_1031900,unknown,Unknown
PF3D7_1032000,unknown,Unknown
PF3D7_1032100,P-body,Cytoplasm & Cytosol (internal)
PF3D7_1032200,unknown,Unknown
PF3D7_1032300,unknown,Unknown
PF3D7_1032400,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,Membrane proteins
PF3D7_1032500,endoplasmic reticulum membrane,Endomembrane System & Golgi ER
PF3D7_1032600,unknown,Unknown
PF3D7_1032700,unknown,Unknown
PF3D7_1032800,unknown,Unknown
PF3D7_1032900,unknown,Unknown
PF3D7_1033000,unknown,Unknown
PF3D7_1033100,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1033200,apicoplast,Apicoplast
PF3D7_1033300,unknown,Unknown
PF3D7_1033400,unknown,Unknown
PF3D7_1033500,"nucleus,site of double-strand break","DNA replication & repair complexes (internal),Nucleus (internal)"
PF3D7_1033600,"Prp19 complex,spliceosomal complex","Intracellular protein complexes (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1033700,unknown,Unknown
PF3D7_1033800,"apicoplast,lysosome","Apicoplast,Vacuole/Lysosome & related"
PF3D7_1033900,nucleus,Nucleus (internal)
PF3D7_1034000,Golgi membrane,Endomembrane System & Golgi ER
PF3D7_1034100,unknown,Unknown
PF3D7_1034200,"apicoplast,mitochondrial large ribosomal subunit","Apicoplast,Mitochondrion & related"
PF3D7_1034300,unknown,Unknown
PF3D7_1034400,respiratory chain complex II (succinate dehydrogenase),Mitochondrion & related
PF3D7_1034500,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1034600,unknown,Unknown
PF3D7_1034700,"Golgi apparatus,cytoplasm","Cytoplasm & Cytosol (internal),Endomembrane System & Golgi ER"
PF3D7_1034800,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1034900,mitochondrion,Mitochondrion & related
PF3D7_1035000,nucleus,Nucleus (internal)
PF3D7_1035100,unknown,Unknown
PF3D7_1035200,unknown,Unknown
PF3D7_1035300,apicoplast,Apicoplast
PF3D7_1035400,unknown,Unknown
PF3D7_1035500,unknown,Unknown
PF3D7_1035600,unknown,Unknown
PF3D7_1035700,unknown,Unknown
PF3D7_1035800,unknown,Unknown
PF3D7_1035900,unknown,Unknown
PF3D7_1036000,unknown,Unknown
PF3D7_1036300,unknown,Unknown
PF3D7_1036400,"actin filament,actin filament bundle,cytoplasm","Cytoplasm & Cytosol (internal),Cytoskeleton & associated"
PF3D7_1036500,unknown,Unknown
PF3D7_1036600,unknown,Unknown
PF3D7_1036700,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1036800,unknown,Unknown
PF3D7_1036900,unknown,Unknown
PF3D7_1037000,"nucleus,zeta DNA polymerase complex","DNA replication & repair complexes (internal),Nucleus (internal)"
PF3D7_1037100,"apicoplast,cytoplasm","Apicoplast,Cytoplasm & Cytosol (internal)"
PF3D7_1037200,unknown,Unknown
PF3D7_1037300,unknown,Unknown
PF3D7_1037400,unknown,Unknown
PF3D7_1037500,"cytoplasm,membrane,microtubule","Cytoplasm & Cytosol (internal),Cytoskeleton & associated,Membrane (general)"
PF3D7_1037600,"nucleotide-excision repair factor 3 complex,transcription factor TFIIH holo complex,transcription preinitiation complex","DNA replication & repair complexes (internal),Intracellular protein complexes (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1037700,unknown,Unknown
PF3D7_1037800,inner dynein arm,Cytoskeleton & associated
PF3D7_1037900,unknown,Unknown
PF3D7_1038000,unknown,Unknown
PF3D7_1038100,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_1038200,unknown,Unknown
PF3D7_1038300,unknown,Unknown
PF3D7_1038400,unknown,Unknown
PF3D7_1038500,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1038600,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1038700,unknown,Unknown
PF3D7_1038800,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1038900,membrane,Membrane (general)
PF3D7_1039000,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1102300,unknown,Unknown
PF3D7_1102400,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1102500,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1102600,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_1102700,apicoplast,Apicoplast
PF3D7_1102800,apicoplast,Apicoplast
PF3D7_1102900,unknown,Unknown
PF3D7_1103000,unknown,Unknown
PF3D7_1103100,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_1103400,apicoplast,Apicoplast
PF3D7_1103500,apicoplast,Apicoplast
PF3D7_1103600,"NuA4 histone acetyltransferase complex,SWI/SNF complex",Spliceosomal & RNP complexes (internal)
PF3D7_1103700,"cytoplasm,protein kinase CK2 complex","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal)"
PF3D7_1103800,"CCR4-NOT core complex,P-body","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal)"
PF3D7_1103900,unknown,Unknown
PF3D7_1104000,phenylalanine-tRNA ligase complex,Intracellular protein complexes (internal)
PF3D7_1104100,"RBC membrane (PEXEL),SNARE complex,apicoplast,endomembrane system,plasma membrane","Apicoplast,Endomembrane System & Golgi ER,Intracellular protein complexes (internal),Membrane proteins,Membrane proteins (PEXEL/HT)"
PF3D7_1104200,"chromatin,nucleus","Chromatin,Nucleus (internal)"
PF3D7_1104300,core mediator complex,Spliceosomal & RNP complexes (internal)
PF3D7_1104400,apicoplast,Apicoplast
PF3D7_1104500,unknown,Unknown
PF3D7_1104600,axoneme,Cell surface structures
PF3D7_1104700,RNA polymerase III complex,Spliceosomal & RNP complexes (internal)
PF3D7_1104800,unknown,Unknown
PF3D7_1104900,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_1105000,unknown,Unknown
PF3D7_1105100,unknown,Unknown
PF3D7_1105200,"MWP complex,microtubule organizing center","Cytoskeleton & associated,Intracellular protein complexes (internal)"
PF3D7_1105300,unknown,Unknown
PF3D7_1105400,"apicoplast,cytosolic small ribosomal subunit","Apicoplast,Ribosome & translation complexes (internal)"
PF3D7_1105500,microtubule organizing center,Cytoskeleton & associated
PF3D7_1105600,unknown,Unknown
PF3D7_1105700,"nucleus,tRNA-splicing ligase complex","Nucleus (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1105800,unknown,Unknown
PF3D7_1105900,unknown,Unknown
PF3D7_1106000,"Ino80 complex,NuA4 histone acetyltransferase complex,R2TP complex,Swr1 complex",Spliceosomal & RNP complexes (internal)
PF3D7_1106100,"RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_1106200,apicoplast,Apicoplast
PF3D7_1106300,"apicoplast,nucleus","Apicoplast,Nucleus (internal)"
PF3D7_1106400,unknown,Unknown
PF3D7_1106500,apicoplast,Apicoplast
PF3D7_1106600,nucleolus,Nucleus (internal)
PF3D7_1106700,unknown,Unknown
PF3D7_1106800,unknown,Unknown
PF3D7_1106900,unknown,Unknown
PF3D7_1107000,"P-body,U6 snRNP,spliceosomal tri-snRNP complex","Cytoplasm & Cytosol (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_1107100,nuclear speck,Nucleus (internal)
PF3D7_1107200,intracellular membrane-bounded organelle,Internal organelle (internal)
PF3D7_1107300,eukaryotic translation initiation factor 4F complex,Ribosome & translation complexes (internal)
PF3D7_1107400,condensed nuclear chromosome,Chromatin
PF3D7_1107500,"chromatin,mediator complex","Chromatin,Spliceosomal & RNP complexes (internal)"
PF3D7_1107600,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1107700,PeBoW complex,Ribosome & translation complexes (internal)
PF3D7_1107800,unknown,Unknown
PF3D7_1107900,plasma membrane,Membrane proteins
PF3D7_1108000,nucleus,Nucleus (internal)
PF3D7_1108100,unknown,Unknown
PF3D7_1108200,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_1108300,unknown,Unknown
PF3D7_1108400,"cytosol,nucleus,protein kinase CK2 complex","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal),Nucleus (internal)"
PF3D7_1108500,"mitochondrion,succinate-CoA ligase complex (ADP-forming)",Mitochondrion & related
PF3D7_1108600,unknown,Unknown
PF3D7_1108700,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_1108800,unknown,Unknown
PF3D7_1108900,nucleus,Nucleus (internal)
PF3D7_1109100,unknown,Unknown
PF3D7_1109200,unknown,Unknown
PF3D7_1109400,"cytoplasm,nucleolus,preribosome small subunit precursor","Cytoplasm & Cytosol (internal),Nucleus (internal),Ribosome & translation complexes (internal)"
PF3D7_1109900,"RBC membrane (PEXEL),apicoplast,cytosolic large ribosomal subunit","Apicoplast,Membrane proteins (PEXEL/HT),Ribosome & translation complexes (internal)"
PF3D7_1110000,unknown,Unknown
PF3D7_1110100,unknown,Unknown
PF3D7_1110200,"U4/U6 x U5 tri-snRNP complex,catalytic step 2 spliceosome",Spliceosomal & RNP complexes (internal)
PF3D7_1110300,"apicoplast,nucleolus","Apicoplast,Nucleus (internal)"
PF3D7_1110400,unknown,Unknown
PF3D7_1110500,"late endosome,retromer complex",Vesicles & Endosomes
PF3D7_1110600,mitochondrial large ribosomal subunit,Mitochondrion & related
PF3D7_1110700,nucleus,Nucleus (internal)
PF3D7_1110800,unknown,Unknown
PF3D7_1110900,catalytic step 2 spliceosome,Spliceosomal & RNP complexes (internal)
PF3D7_1111000,mitochondrial large ribosomal subunit,Mitochondrion & related
PF3D7_1111100,"DNA replication factor C complex,nucleus","DNA replication & repair complexes (internal),Nucleus (internal)"
PF3D7_1111200,"U1 snRNP,U2-type prespliceosome",Spliceosomal & RNP complexes (internal)
